ID,location_name,lat,long
2363135,Babo,13.84354,-1.90296
2363134,Babolo,10.08333,-4.56667
2363132,Babonga,13.1065,0.59223
2363131,Babongou,13.44436,0.89632
2363130,Babou,12.88846,-1.60991
2363129,Babouadi,12.98333,0.43333
2363128,Baboura,10.06667,-3.85
2363127,Babourou,10.1,-4.35
12420862,Babrora,10.08313,-3.81919
2363145,Babé,10.28333,-4.01667
2363146,Babé,12.71291,-1.49363
2363144,Babéden,12.91667,-0.46667
2363143,Babédo,11.98333,-1.58333
2363142,Babéré,12.95,0.06667
2363141,Babéréké,13.14854,-1.03455
2363126,Bada,13.14767,0.38736
2363125,Badabiessan,11.05,-0.93333
2363124,Badala,11.38551,-4.36295
12450781,Badalgou,12.7891,-0.19605
2363123,Badalougou,12.8,-0.21667
2363096,Badano,13.75583,-2.12214
2363121,Badara,10.78333,-3.81667
2363122,Badara,10.46667,-5.08333
2363118,Badema,11.64701,-4.25823
2363117,Badet,10.45,-4.1
2363114,Badinga,12.3527,-4.1995
2363115,Badinga,12.08194,0.6837
2363113,Badini,10.63333,-5.16667
2363111,Badinogo,13.3378,-1.59762
2363110,Badinogo,13.42843,-1.53984
2363112,Badinogo,12.58333,-0.7
2363109,Badinogou,14.0551,-1.64733
2363116,Badiéré,11.2,-3.16667
2363108,Badnogo,11.88333,-1.41667
2363107,Badnogo,12.13333,-0.5
11948931,Badnogo,12.695,-1.45901
2363104,Badnogo,12.96667,-0.5
2363105,Badnogo I,12.46903,-1.29979
2363106,Badnogo II,12.27074,-1.36982
2363103,Badnongo,13.59939,-0.86963
2363101,Bado,12.5,0.6
2363102,Bado,11.63333,-0.45
2363100,Badongo,11.11667,-1.16667
2363099,Badongo,11.18333,-0.96667
2363098,Badora,10.3,-3.03333
2363097,Badoré,12.98333,-0.13333
2363095,Badougou,11.11667,-0.61667
2363120,Badèdsi,12.49728,1.60272
2363119,Badéma,11.18333,-0.31667
2363093,Bafina,13.68314,-0.97362
2363092,Baforo,11.03333,-3.1
2363094,Bafèlè,14.06579,0.02201
2363086,Baga Dombo,14.12927,-1.59262
2363071,Baga Véndou,14.2536,-1.22023
2363091,Bagaben,12.8,-0.8
2570098,Bagabin,12.10972,-1.51217
2362778,Bagabin,12.5441,-1.46853
2363088,Bagadogo,12.88333,-0.83333
2363087,Bagadogo,12.91665,-1.03337
2570044,Bagadogo,12.07459,-1.35243
2363089,Bagadogo,11.9,-1.36667
2362739,Bagadogo,12.61554,-1.35252
2363085,Bagadowoéghin,12.2903,-1.79923
2363090,Bagadé,13.04169,-0.53465
2363040,Bagafa,11.76694,-1.84972
2363084,Bagahanba,12.15797,1.81485
2363083,Bagala,12.6,-3.83333
12494057,Bagali,12.19415,1.84104
2363082,Bagammssi,11.78333,-1.1
2363080,Bagandé,12.85,-0.35
2363078,Bagane,11.2,-3.18333
2363079,Bagané,10.96667,-3.05
2363077,Bagané,12.03333,-2.31667
2570338,Bagarao,12.2581,-1.68688
11911810,Bagaraogo,12.24304,-1.69575
2363073,Bagari,12.13152,1.84062
2363075,Bagaré,13.30139,-2.36077
2363074,Bagaré,13.45136,-1.50591
2363076,Bagaré,12.91667,-2.6
2363072,Bagassi,11.75,-3.3
2363070,Bagawa,14.17775,-0.35556
11912835,Bagayiri,12.03007,-1.82346
2362760,Bagayiri,12.55694,-1.45751
2570083,Bagayiri,12.47821,-1.27127
2363069,Bagbanano,10.68333,-3.15
2363068,Bagbili,12.2,-0.61667
2363081,Bagemnini,12.01553,-1.55169
2355130,Bagma,12.33649,-1.77232
12495174,Bagmoussa,11.21447,0.24173
2363063,Bagou,12.31667,0.36667
2363064,Bagou,11.28333,-2.23333
2363060,Bagouoko,13.43353,-2.22092
2363059,Bagouzia,11.28333,-2.18333
2363062,Bagouédara,10.08333,-3.91667
2363061,Bagouéra,10.0,-3.95
2363058,Bagozougou,12.41667,-2.16667
2363055,Bagpélogo,11.88333,-1.63333
2363056,Bagpélogo,11.76667,-1.13333
2363057,Bagpélogo,11.71667,-1.21667
7701508,Bagre,11.4824,-0.51695
2570063,Bagtogdo,12.21691,-1.5671
2363052,Baguiomo,12.06667,-2.55
2363053,Baguéra,10.53333,-5.41667
2363067,Bagéou,12.2,-2.9
2363051,Baham,13.64477,0.70431
2363050,Bahamaka,13.5148,-1.69252
2363049,Bahanéré,12.4,-0.25
2363048,Bahara,12.73333,-0.9
2363047,Bahniaga,13.12259,-0.11856
2363046,Baimbaiga,11.16667,-0.41667
2363044,Baka,12.26667,-0.41667
2363045,Baka,12.25,-0.41667
2363043,Baka,12.28333,-0.41667
2363042,Bakara,11.2,-3.01667
2363041,Bakaribougou,11.05095,-5.11669
11913424,Baken,12.66446,-1.75633
2570324,Bakiensom,12.30093,-1.61276
2363039,Bakina,10.61667,-3.41667
2363038,Baklouté,13.1641,-0.40688
2363036,Bako,12.75628,-1.86863
2363037,Bako,12.28333,-0.71667
2363033,Bako,12.06667,-3.78333
2363034,Bako,10.3,-4.3
2363035,Bako,12.76498,-1.68475
2363032,Bakogo,11.6,-1.15
2363031,Bakono,10.35,-3.16667
2363028,Bakori,10.3,-2.83333
2363030,Bakoronisso,11.88051,-4.22199
2363029,Bakoré,14.07741,-1.59334
2363027,Bakotinga,11.06667,-2.71667
2363026,Bakotou,13.26836,0.50996
2363025,Bakotourou,11.08333,-2.63333
2363024,Bakou,13.37411,-1.99616
2363023,Bakouani,11.13371,-5.19565
2363022,Bakoui,13.01293,-1.64082
2363021,Bakouléna,10.33333,-3.1
2363020,Bakoumba,12.25,-0.65
2363018,Bakoumbila,12.65282,-1.24981
2363019,Bakoun,9.96667,-2.9
2363017,Bakouté,10.41667,-4.01667
2363016,Bakoutélé,10.46667,-3.93333
2363015,Bakouyo,11.36667,-2.58333
2363014,Bakpara,10.56667,-3.16667
2363013,Bala,14.18194,-0.1466
2363012,Bala,10.11667,-2.91667
2363011,Bala,11.49919,-4.08253
2363010,Balabéssanko,12.08333,-0.28333
2570107,Balambalo,12.09597,-1.59083
2363009,Balandagou,13.93753,0.18253
2363008,Balangaboingna,10.93333,0.55
2363007,Balangadi,10.96667,0.55
6786263,Balango,13.67049,-2.47335
2363006,Balanti,10.36667,-3.33333
2363005,Balao,11.85,-2.95
2363004,Balavé,12.37588,-4.15681
2363003,Balbara,10.56667,-2.95
2360254,Balbo,12.97996,-1.12627
2363002,Balbou,13.3276,-1.2729
12238259,Balboudi,11.71496,0.0811
2363001,Balbouro,10.83333,-3.38333
2362993,Balga,12.21568,0.19474
12324472,Balgabé,12.95493,0.72664
2362992,Balingara,10.21667,-3.15
2362991,Baliniar,10.8,-3.21667
2362990,Balinséra,9.85,-3.01667
2362989,Balkuy,12.29979,-1.45207
2362582,Balliata,14.28433,-0.10695
12450756,Balliata,14.28621,-0.1195
2362988,Balmen,12.16667,-0.41667
2362987,Balo,12.5137,-1.93309
2362986,Balo,13.0,-2.33333
2362985,Balogo,11.41667,-1.53333
2362984,Baloko,11.15,-0.01667
2570340,Balolé,12.29611,-1.74611
2362983,Balolé,12.29511,-1.74945
2362980,Balongodouo,10.23333,-3.23333
2362979,Balonguen,12.05,-0.2
2362981,Balonguen,12.04733,-1.50185
2570108,Balonguen,12.4333,-1.437
2570258,Balonguen,12.37128,-1.64431
2362978,Balonza,13.53885,-2.58652
2362977,Balopo,10.6,-3.23333
2362976,Balourél,14.21603,-1.52778
2362996,Balèl,13.73066,-0.26002
2362995,Balèmba,13.0678,0.00028
2362994,Balèmyouré,12.1,-0.58333
2363000,Balé,13.33771,0.094
2362999,Balé,13.37231,0.12436
2362998,Balé,13.69675,-0.62502
2362997,Balégogo,10.18333,-4.03333
2362975,Bam,13.36293,-1.51225
2362578,Bam,13.56733,-2.52063
2362970,Bama,12.0357,-4.3987
2362972,Bama,11.02336,-5.28951
2362971,Bama,11.37865,-4.42175
2362969,Bamako,10.5555,-4.45222
2362968,Bamako,10.93333,-3.33333
2362966,Bambakari,14.96038,-0.08676
12217365,Bambambou,12.04463,1.28747
2362965,Bambara,13.35702,-2.79241
12440388,Bambari,13.94529,0.41479
2362963,Bamblé,13.65972,-0.34631
2362962,Bambori,13.43849,0.50106
2362964,Bambéni,13.33411,0.40325
2362960,Bamena,9.81667,-2.95
2362958,Bamga,14.02241,0.07172
2362952,Bamguil,12.45353,1.78666
2362956,Bamguèl,14.26885,-0.79568
2363054,Bamguèl Baguèl,14.33489,-0.67107
6862568,Bamguèl Day,14.7003,-0.8451
2361236,Bamguèl Diolo,14.1459,-0.6943
2362955,Bamguèl Kobi,14.46521,-0.76042
6862562,Bamguèl Kobi,14.46629,-0.79017
6862563,Bamguèl Palol Tchoukoungol,14.48927,-0.78708
2354649,Bamguèl Térèlbi,14.56858,-0.87936
2362957,Bamgué,13.68285,-0.20058
2362333,Bamguél Bodié,14.41,-1.51063
2362337,Bamguél Bodé,14.29263,0.22347
2362954,Bamguél Mana,14.46864,-1.10761
2362953,Bamguél Ndao,14.19927,0.34308
2355984,Bamguél Sampoulé,14.3941,-1.49459
2354656,Bamguél Terbi,14.21927,0.20592
2362950,Bamlétiédé,14.26374,-0.60933
2362949,Bamparou,13.47938,0.60311
2362948,Bamtou,10.3,-4.23333
2362959,Baména,10.46667,-3.31667
2362869,Ban,14.08163,-2.44561
2362576,Ban,12.70018,-4.35094
2362943,Bana,13.22924,0.76052
2362944,Bana,12.6,-3.48333
2362945,Bana,11.91667,-3.38333
2362946,Bana,11.7,-1.01667
2362947,Bana,11.23204,-4.47506
2362935,Bana Sokoura,11.93333,-3.4
2362942,Banahari,12.51667,-0.06667
2362938,Banakoro,11.48067,-4.97103
2355711,Banamb-Sesso,9.8086,-2.87766
2359987,Banamba-Ipiel,9.82275,-2.87709
2362910,Banamba-Izir,9.81802,-2.88363
2359960,Banamba-Toma,9.8285,-2.88572
2362941,Banana,13.3374,-4.0479
2362937,Banankoro,13.0309,-3.9732
2362939,Banankoro,11.1793,-5.1071
2362940,Banankélédara,11.3178,-4.32849
2362936,Banaorodougou,11.33689,-4.34047
2362934,Banbalé,10.31667,-5.28333
2362932,Banbigouabri,13.39507,-0.14864
2362951,Banbilari,13.21363,0.17754
2362931,Banbou,11.28333,-3.56667
2362929,Banboulo,10.65,-3.11667
2362933,Banbéou,10.6,-3.15
6860080,Banda Radié,14.13804,0.22433
2362928,Bandaguéra,10.13333,-3.5
2362926,Bandakoro,10.43333,-4.28333
2362927,Bandakélesso,9.83541,-4.37157
2362925,Bandalon,12.11667,-2.61667
2362924,Bandania,13.92576,-0.22969
12494053,Bandaoghin,11.85273,0.26882
12493144,Bandaokanré,12.25065,-0.04145
12389070,Bandiedaga-Gourmantché,13.90481,0.32252
2362918,Bandikirini,12.76667,0.4
2362917,Bandio,11.68333,-3.26667
2362916,Bandiosi,13.32055,0.71186
2362919,Bandiédaga,13.8746,0.25647
12500978,Bandiédaga-Lérel,13.8886,0.27356
2362914,Bandougou,10.96667,-4.86667
2362915,Bandoué,12.03333,-3.05
2362922,Bandé,11.48333,-3.53333
2362921,Bandéga,13.276,-1.18936
2362961,Bandékiri,13.04359,-0.06919
2362920,Bandéo-Naponé,12.04605,-2.52094
11913349,Banembanto,12.07687,-1.56778
2362909,Banfora,10.63333,-4.76667
7730463,Banfora Airport,10.68945,-4.72743
2362907,Banfoulagué,11.14056,-4.73656
2362906,Banga,12.18333,-3.3
2362905,Banga,13.187,0.82274
6822236,Banga Balé,13.28065,0.23868
2362902,Banga Boulla,13.57083,0.72394
2362903,Bangaba,13.35763,0.31151
2362901,Bangao,14.77004,-0.25649
6862574,Bangao,14.9228,-0.3238
6862570,Bangao,14.76323,-0.19523
8614817,Bangao,14.77233,-0.23759
2362900,Bangao,14.76667,-0.18333
2362898,Bangari,14.32439,-1.48939
2362899,Bangaré,12.85,-0.35
2362895,Bangassi,12.77468,-4.18456
2362894,Bangassi,13.2357,-3.9798
2362868,Bangassi,13.1577,-3.2782
2362893,Bangassoko,13.31186,-2.91375
2362872,Bangassomba,13.13988,-2.19273
11911127,Bangassompissen,12.43784,-1.80383
2362897,Bangassé,13.09933,-2.59479
2362896,Bangassé,13.19417,-1.0894
2362892,Bangataka,13.98489,-0.40437
12470333,Bangataka-Lèrè,13.98019,-0.46035
2362891,Bangay,13.01977,-0.30684
12450758,Bangbé Tèrbi,14.26123,-0.06751
2362890,Bangbé Térbi,14.25969,-0.05749
2362874,Bangma,12.15895,-1.61871
12199927,Bangmiougou,13.49159,-1.12473
2362887,Bango,13.32289,-1.5294
2362885,Bango,10.55,-4.36667
2362886,Bango,13.66268,-2.54466
2362883,Bango,13.62225,-2.95427
2362884,Bango,11.4111,-4.36651
2362882,Bango Béro,14.23333,0.28333
2362881,Bango Mossi,13.65,-2.53333
2362880,Bangonadji,14.68675,-0.35011
2362879,Bangoué,10.41667,-3.81667
2362878,Bangozougou,12.16667,-2.43333
11980312,Bangressen,12.19993,-1.20965
2363066,Bangrin,12.5295,-1.36242
2362877,Bangré,12.99386,-1.41253
2362782,Bangré,12.15479,-1.32843
2362876,Bangrézanga,12.25,-0.81667
11980327,Banguesom,12.48665,-1.16179
2362888,Banguessom,12.05153,-1.94536
2362873,Banguessoum,12.42156,-1.79882
2362871,Banguiou,11.68333,-3.16667
2362870,Banguissamé,11.76667,-1.16667
2362875,Banguèl Dao,14.22025,-0.14764
2362889,Bangèl,13.27069,0.4154
2362557,Banh,13.79265,-2.70945
11257297,Banh,14.083,-2.45
2362867,Banhié,10.26667,-2.88333
2362866,Banhounou,10.26667,-3.93333
2362865,Bani,13.36667,-0.26667
2361603,Bani,13.72139,-0.17222
2362864,Bani,13.64189,-1.49266
2362862,Bani,14.21884,-2.57727
2362863,Bani,14.01675,-1.70111
2362861,Bania,14.572,-1.8566
2362860,Baniaba,13.36377,0.70346
2362859,Baniara,10.2,-3.15
2357400,Banifing,12.01147,-5.65968
2362858,Banika,13.51716,0.406
12253551,Banikani,14.20486,-1.67564
12503630,Banikidi,13.04618,-0.07011
2447106,Banindyidi Fouanou,12.42571,2.27771
2362857,Banindyididouana,12.4685,2.2655
2362856,Baniossori,11.36667,-2.53333
2362855,Baniotenga,12.86667,-2.71667
2362854,Baniou,13.00115,-2.14146
2362853,Banipoulé,10.58333,-2.96667
2362852,Baniri,11.21667,-3.36667
2362850,Bankandi,11.25,-3.06667
12495527,Bankartougou,12.34007,1.04572
2362849,Bankatatougou,12.28969,1.05953
11948025,Bankiemdé,12.89471,-1.0588
2362848,Bankoni,11.63333,-3.7
2362847,Bankorosso Gamadou,12.31667,-3.1
2362845,Bankouma,13.2527,-4.1892
2362844,Bankouman,11.91667,-3.56667
2362842,Bankoumani,13.0657,-4.25884
2362843,Bankoumani,12.61667,-3.91667
2362841,Bankoura,10.16667,-3.15
2362840,Bankui,12.61667,-3.56667
2362839,Banlo,10.58333,-3.23333
2362837,Banmbili,12.96667,0.3
2362838,Banmbé,12.0194,-4.6119
2362836,Banmkok Kyaro,13.15642,0.59675
2362835,Banmwanou,12.3,0.73333
2362834,Bannho,13.05974,0.02302
2362833,Bannsyaga,13.01511,0.50275
2570280,Banogo,12.30456,-1.50694
2362832,Banogo,10.6,-4.15
2362831,Banon,11.18333,-1.1
2362829,Banou,11.76667,-3.36667
2362828,Banou,12.16667,-3.2
2362823,Banou Yao,11.68333,-3.36667
2362826,Banouila,12.91667,-0.9
2362825,Banoumba,12.31667,-3.03333
2362824,Banounou,12.81667,-2.03333
2362822,Banpolé,13.34417,-0.56157
2362821,Banpon,10.53333,-2.96667
2362820,Banpourounga,13.46278,-0.15748
2362818,Bansigui,13.24752,-0.68256
2362817,Banta,9.98333,-3.53333
12492737,Bantambougou,11.08924,0.85893
2362815,Bantogdo,12.43923,-1.94629
2362814,Bantolé,12.48333,-2.41667
2362813,Bantouani,12.53485,1.51951
12451065,Bantougri,11.55221,-0.29543
2362816,Banté,14.64466,-1.41037
2362812,Banwomo,12.2488,2.02323
2362811,Banzani,11.3931,-5.23796
2362810,Banzo,11.32668,-4.79952
2362912,Bané,11.55713,-0.29866
2362913,Bané,11.15,-0.5
2362911,Banébira,10.46667,-3.53333
2362561,Banéga,11.69902,-2.60785
2362808,Bao,13.0,-3.21667
2362807,Baodogo,13.62003,-2.5085
12503764,Baoguen,11.45874,0.12465
2569984,Baoguen,12.23924,-1.69312
2570221,Baoguen,12.49871,-1.59044
2362806,Baola,13.72809,-0.70922
2362805,Baongo,13.71667,-2.0
2362804,Baongué,13.7654,-1.71263
2570288,Baonnoré,12.30988,-1.61181
2362803,Baopendi,12.76667,1.1
2362802,Baoudoumboen,13.05354,-2.63336
2362800,Baougen,12.31667,-2.16667
2362799,Baougou Poré,13.97162,-0.44204
2362798,Baouiga,11.61667,-1.65
2362801,Baouèné,14.02819,-2.40935
12440445,Bapierga,11.44202,0.59245
12232553,Bapiéma,11.77683,1.25804
2362797,Bapla,10.86667,-3.26667
2362796,Baplakola,10.91667,-3.15
12087357,Baporayiri,9.8277,-2.74399
2362649,Bar Yiri,12.02056,-1.88519
2362794,Bara,12.9914,-4.25
2362793,Baraboulé,14.20655,-1.85314
2362792,Baraboulé,14.20807,-0.74058
2362791,Barakpéré,10.43333,-3.18333
2362790,Barakui,12.55258,-3.61256
2362789,Barakyemdé Bangari,13.66021,-0.8051
2362788,Barakyengo,13.42401,0.89506
2362785,Baraliyiri,12.01751,-1.82561
2362787,Baralé,12.88724,-1.05312
2362786,Baraléongo,11.98333,-1.48333
2362745,Barama,12.4974,-1.73791
2362784,Baramiougou,13.53994,-1.06045
2362783,Barana,12.05424,-1.6406
2362781,Barani,13.1691,-3.8899
11205452,Barani Department,13.16812,-3.89101
2362780,Barao,13.89383,-0.66205
2362779,Baraptenga,12.8,-0.66667
2362777,Bardyiwari,12.73606,1.4186
2362774,Baren,12.6,-0.38333
2362772,Barga,13.79332,-2.25502
2362773,Barga,13.61735,-0.73785
2362771,Bargabouga,13.64569,0.66412
2362769,Bargansé,11.18463,-0.50643
12324184,Bargansé-Peulh,11.18601,-0.49056
2362770,Bargaré,13.88838,-0.15374
2362767,Bargo,13.41506,-1.50486
2362768,Bargo,12.73333,-2.05
2362766,Bargo,14.15324,-2.1603
2362765,Bari,12.29373,1.47212
2362762,Baribsi,13.33411,-1.71798
2362763,Baribsi,12.85,-2.45
2362764,Baribsi,12.48333,-2.05
11962664,Barimagou,12.38888,1.35533
2362759,Baringira,10.43333,-3.01667
2362758,Baripoa,12.21495,1.85839
2362761,Bariéra,10.48333,-3.1
2362757,Barkana,13.62391,-1.70768
2362752,Barkouitenga,12.63486,-1.31644
2362755,Barkoundouba,12.67048,-1.19302
2362754,Barkoura,10.38333,-3.35
2362753,Barkoura,10.15,-3.25
2362756,Barkéa,14.02673,-0.16285
2362751,Barla,12.68333,-2.51667
2362750,Barlara,13.30116,-0.84849
2362748,Barlé,13.10798,-1.05832
2362746,Barlé,13.30413,-1.72099
2362747,Barlé,13.1355,-0.79806
2362749,Barlé,12.55,-0.51667
2362744,Barma,13.23887,-2.05089
2362743,Barnoro,12.25,-0.11667
2362742,Baro,10.51667,-3.23333
2362740,Barogo,12.55,-0.96667
2362741,Barogo,12.41584,-1.41342
11911132,Barouli,12.45224,-1.76028
12204984,Barpoa,12.21395,1.87498
11915106,Barpélaga,12.69663,-1.98749
11900646,Barrage Numéro Deux,12.38904,-1.534
11900647,Barrage Numéro Trois,12.38883,-1.50903
11900645,Barrage Numéro Un,12.38124,-1.56479
2570095,Barrage de Loumbila,12.49173,-1.40305
11980371,Barrage de Ziga,12.49169,-1.08209
6860082,Barrague,14.14459,0.05547
2362737,Barsa,13.09694,-1.62721
