ID,location_name,lat,long
2353304,Zétonasso,11.27755,-5.22688
2353305,Zétgomdé,12.5,-0.71667
2353306,Gounghin,12.06677,-1.42134
2353307,Zèsa,12.71667,-2.45
2353308,Zérounda,12.86985,-1.93915
2353309,Zerkoum,12.38333,-2.06667
2353310,Zerkom,12.23616,-1.95317
2353311,Zérédéguen,13.07382,-1.14553
2353312,Zérébougou,11.0,-0.58333
2353313,Zéoulé,12.26667,-3.53333
2353314,Zéoula,12.26667,-3.48333
2353315,Zennloua,11.88333,-1.96667
2353316,Zénin,11.86667,-2.48333
2353317,Zénédéré,12.76667,-2.2
2353318,Zemtoéga,11.76667,-1.28333
2353319,Zèmpasgo,12.25,-0.73333
2353320,Zémpana,12.8,-3.5
2353321,Zémouapare,10.21667,-2.83333
2353322,Zélougou,11.13333,-0.63333
2353323,Zélogo,10.96667,-0.88333
2353324,Zélemsondé,13.56317,-0.47425
2353325,Zélasié,12.45,-2.8
2353326,Zila,12.45774,-1.79665
2353327,Zékounga,12.38967,-1.67532
2353328,Zéko,12.25,-0.58333
2353329,Zinkemzougou,12.31501,-1.91917
2353330,Zéka,13.08212,-1.305
2353331,Zéhui,12.9067,-4.159
2353332,Zinguédéssé,12.24661,-1.58402
2353333,Zengressé,12.2092,-1.3813
2353334,Zéguédessé,12.00135,-1.24194
2353335,Zéguédéguen,12.95735,-0.45499
2353336,Zéguédéguin,11.9,-1.45
2353337,Zéguédéguen,12.093,-1.97562
2353338,Zéguédéga,12.3,-0.53333
2353339,Zéguédéga,11.91667,-0.38333
2353340,Zégèdnogo,13.22338,-1.31584
2353341,Zéguédéguen,12.97368,-1.40604
2353342,Zéguédéguen I,12.78853,-1.89159
2353343,Zéguédéguen II,12.79176,-1.73275
2353344,Zécco,11.03333,-0.85
2353345,Zébékaha,10.46667,-5.35
2353346,Zay,13.99,-2.35809
2353347,Zawara,11.78333,-2.58333
2353348,Zawadoro,12.08333,-0.25
2353349,Zavara,11.5,-1.88333
2353350,Zarsin,12.11009,-1.31377
2353351,Zargomé,11.63333,-0.01667
2353352,Zargo,11.68333,-0.61667
2353353,Zarfi,11.16667,-0.01667
2353354,Zaren,13.19412,-0.91671
2353355,Zarayn,12.53333,-2.11667
2353356,Zaran Kipsi,14.68367,-0.89215
2353357,Zarahougo,11.88333,-1.28333
2353358,Zarabili,11.78333,-1.21667
2353359,Zara,12.73333,-2.75
2353360,Zaptinga,11.71667,-1.1
2353361,Zaouna,13.06662,-1.53887
2353362,Zaoro,12.15,-0.28333
2353363,Zaongo,12.91667,-0.58333
2353364,Zaongo,12.21667,-0.38333
2353365,Zao,11.85,-2.11667
2353366,Zanzi,13.01473,-1.20985
2353367,Zanvi,12.95963,-1.14586
2353368,Zanren,12.05,-0.28333
2353369,Zanré,12.06667,-0.05
2353370,Zano,13.67062,-2.31358
2353371,Zano,13.34354,-1.6983
2353372,Zanna,13.48858,-2.17542
2353373,Zankolaga,13.38232,-2.41761
2353374,Zangwi,13.03406,-1.31351
2353375,Zangokala,10.85,-5.28333
2353376,Zangogo,11.86667,-1.2
2353377,Zangogo,11.76667,-1.38333
2353378,Zanghindiéssé,12.36472,-1.71061
2353379,Zanguélila,12.94009,-1.46801
2353380,Zangboni,11.36667,-2.93333
2353381,Zangbéga,12.58643,-1.31636
2353382,Zangazoni,11.90484,-4.70916
2353383,Zanganyiara,10.51667,-5.36667
2353384,Zanga,10.4,-5.41667
2353385,Zanfara,11.75309,-5.0148
2353386,Zandouré,12.93333,-0.53333
2353387,Zandkom,13.14071,-1.5526
2353388,Zandékaha,10.61667,-5.2
2353389,Zanawa,10.98333,-3.5
2353390,Zanamogo,13.75619,-1.69128
2353391,Zana,13.79024,-1.70029
2353392,Zan,11.15,-0.3
2353393,Zamren,12.20932,-1.94356
2353394,Zamsé,12.00246,-1.29199
2353395,Zamsé,13.44859,-1.79485
2353396,Zamsé,12.53333,-0.71667
2353397,Zamsé,12.36667,-0.36667
2353398,Zamo,12.01667,-2.71667
2353399,Zamnongho,12.20995,-1.55386
2353400,Zamné,14.1572,-2.21884
2353401,Zammsé,11.7,-1.1
2353402,Zammsé,11.55,-1.18333
2353403,Zamiolo,13.66367,-2.4785
2353404,Zamé,11.08333,-0.56667
2353405,Zamdogo,13.0815,-2.02048
2353406,Zambo,10.81667,-3.0
2353407,Zambanga,12.73333,-0.56667
2353408,Zambanaga,12.23449,-1.68208
2353409,Zambalaga,11.2,-0.26667
2353410,Zambalaga,11.31667,-0.31667
2353411,Zambala,12.6,-2.46667
2353412,Zamarkoy,14.829,-0.5187
2353413,Zamakologo,11.58495,-4.72232
2353414,Zam,12.35,-0.81667
2353415,Zam,12.33959,-0.83189
2353416,Zalo,11.96667,-1.9
2353417,Zalagadé,11.81667,-1.2
2353418,Zakuy,12.53333,-3.41667
2353419,Zakui,13.0369,-4.1495
2353420,Zakui,12.28333,-3.51667
2353421,Zakouré,12.67512,-1.56179
2353422,Zako,12.03333,-0.15
2353423,Zakin,12.35793,-1.3722
2353424,Zaken,12.3,-2.33333
2353425,Zaké,12.18333,-2.41667
2353426,Zakarga,12.31667,-0.51667
2353427,Zaka,11.96667,-0.01667
2353428,Zainzain,11.2,-0.35
2353429,Zahatenga,12.86667,-0.98333
2353430,Zagtouli,12.32924,-1.62566
2353431,Zagaltenga,12.96548,-1.45688
2353432,Zéguédéssen,12.72177,-1.46086
2353433,Zaèltenga,12.9206,-1.32066
2353434,Zado,12.13333,-2.66667
2353435,Zadierla,11.84834,-5.09608
2353436,Zabré,11.1825,-0.63222
2353437,Zabo,11.36667,-3.85
2353438,Zablou,13.14078,-1.12303
2353439,Zabga,12.85,-0.53333
2353440,Zabéadougou,10.56667,-5.36667
2353441,Zabartanga,12.8,-0.93333
2353442,Zaba,12.78333,-3.2
2353443,Yoyou,11.73333,-2.51667
2353444,Yoyo,11.18333,-0.01667
2353445,Yourouna,13.1247,-4.3111
2353446,Youngou,11.11667,-0.58333
2353447,Youmpoura,10.51667,-3.3
2353448,Youmbara,10.51667,-3.1
2353449,Youloupo,12.56667,-2.75
2353450,Youlou,12.28333,-2.9
2353451,Youlo,10.58333,-3.08333
2353452,Youlabako,10.41667,-3.1
2353453,Youkouka,11.05,-0.5
2353454,Youkoa,10.75,-5.11667
2353455,Youken,12.21667,-0.05
2353456,Yougui,12.66667,-0.25
2353457,Yougoupyongou,12.38333,-0.1
2353458,Yougoupélé,12.04858,-1.55864
2353459,Yougounini,13.27595,-1.64217
2353460,Yougoul Mandé,12.3,-0.71667
2353461,Youga,11.06537,-0.45196
2353462,Yougtenga,12.00289,-1.4148
2353463,Youbitenga,12.84423,-1.45141
2353464,Youba Naloto,12.71667,-0.95
2353465,Youbga,12.77323,-1.70144
2353466,Youba,13.66783,-2.37536
2353467,Youba,12.73333,-0.93333
2353468,You,13.70167,-2.14101
2353469,Yorogo,11.95,-1.31667
2353470,Yoroga,12.71667,-2.08333
2353471,Yoro,11.06667,-2.36667
2353472,Yargo,12.30457,-1.50442
2353473,Dar Salam,12.36146,-1.63909
2353474,Yorgo,12.0015,-1.35606
2353475,Yoren,13.06695,0.1447
2353476,Yoréko,11.23333,-0.55
2353477,Yonkui,12.6,-3.45
2353478,Yongono,14.08778,-2.58305
2353479,Yona,12.1,-3.38333
2353480,Yona,11.96667,-3.38333
2353481,Yoména,9.96667,-3.15
2353482,Yomboli,14.64651,-0.30264
2353483,Yolontéra,10.3,-2.96667
2353484,Yolonioro,10.73333,-3.4
2353485,Yolonguira,10.1,-3.45
2353486,Yolga,11.51667,-0.06667
2353487,Yoldétéoun,9.85,-2.93333
